date,hour,production
2022-05-26,0,0
2022-05-26,1,0
2022-05-26,2,0
2022-05-26,3,0
2022-05-26,4,0
2022-05-26,5,0.18
2022-05-26,6,7.19
2022-05-26,7,26.54
2022-05-26,8,35
2022-05-26,9,35
2022-05-26,10,35
2022-05-26,11,35
2022-05-26,12,35
2022-05-26,13,35
2022-05-26,14,35
2022-05-26,15,33.58
2022-05-26,16,30.36
2022-05-26,17,25.63
2022-05-26,18,10.68
2022-05-26,19,1.25
2022-05-26,20,0
2022-05-26,21,0
2022-05-26,22,0
2022-05-26,23,0
2022-05-27,0,0
2022-05-27,1,0
2022-05-27,2,0
2022-05-27,3,0
2022-05-27,4,0
2022-05-27,5,0.21
2022-05-27,6,6.8
2022-05-27,7,25.45
2022-05-27,8,35
2022-05-27,9,35
2022-05-27,10,35
2022-05-27,11,35
2022-05-27,12,35
2022-05-27,13,35
2022-05-27,14,35
2022-05-27,15,32.48
2022-05-27,16,4.09
2022-05-27,17,2.29
2022-05-27,18,2.14
2022-05-27,19,1.07
2022-05-27,20,0
2022-05-27,21,0
2022-05-27,22,0
2022-05-27,23,0
